"Surveillance_system","Collection_year","Collection_week","Pool_No","ID","Species","Pool_size","Life_stage_E_L_P_A","Sex_F_M","Location","Code","USUV","WNV"
"BRS",2020,27,"137","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W27P2",0,0
"BRS",2020,27,"138","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W27P3",0,0
"BRS",2020,27,"139","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W27P4",0,0
"BRS",2020,28,"140","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W28P1",0,0
"BRS",2020,28,"141","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W28P2",0,0
"BRS",2020,28,"142","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W28P3",0,0
"BRS",2020,28,"143","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W28P4",0,0
"BRS",2020,28,"144","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W28P5",0,0
"BRS",2020,28,"145","","Culex pipiens/torrentium",9,"A","F","Reusel","RSL20W28P6",0,0
"BRS",2020,30,"146","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P1",0,0
"BRS",2020,30,"147","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P2",0,0
"BRS",2020,30,"148","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P3",0,0
"BRS",2020,30,"149","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P4",0,0
"BRS",2020,30,"150","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P5",0,0
"BRS",2020,30,"151","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P6",0,0
"BRS",2020,30,"152","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P7",0,0
"BRS",2020,30,"153","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P8",0,0
"BRS",2020,30,"154","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P9",0,0
"BRS",2020,30,"155","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P10",0,0
"BRS",2020,30,"156","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P11",0,0
"BRS",2020,30,"157","","Culex pipiens/torrentium",10,"A","F","Reusel","RSL20W30P12",0,0
