Row,INSDC Sequence accession,ID,applicant,DeathOrSampleDate,DateInfo,English,Dutch,Latin,family,order,location,province,Lat,Long,BirdUSUV,BirdTestedWNV
884,,AS20221667,DWHC,08-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Swifterbant,Flevoland,52.57,5.64,0,TRUE
885,,AS20221612,DWHC,11-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Wijchen,Gelderland,51.82,5.72,0,TRUE
886,,AS20221677,DWHC,10-08-2022,DateFound,Common Shelduck,Bergeend,Tadorna tadorna,Anatidae,Anseriformes,Wilhelminadorp,Zeeland,51.4,3.61,0,TRUE
887,,AS20221632,DWHC,10-08-2022,DateFound,Common Shelduck,Bergeend,Tadorna tadorna,Anatidae,Anseriformes,Wilhelminadorp,Zeeland,51.4,3.61,0,TRUE
888,,AS20221597,DWHC,10-08-2022,DateFound,Common Shelduck,Bergeend,Tadorna tadorna,Anatidae,Anseriformes,Wilheminadorp,Zeeland,51.4,3.61,0,TRUE
889,,AS20221652,DWHC,11-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Swifterbant,Flevoland,52.57,5.64,0,TRUE
890,,AS20221784,DWHC,11-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Drunen,Brabant,51.69,5.13,1,TRUE
891,,AS20221838,DWHC,22-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Hardinxveld-Giessendam,Z-Holland,51.82,4.89,1,TRUE
892,,AS20221837,DWHC,22-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Heesch,Brabant,51.73,5.54,0,TRUE
893,,AS20221840,DWHC,22-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Zevenhoven,Z-Holland,52.18,4.83,0,TRUE
894,,AS20221794,DWHC,24-08-2022,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Westerbroek,Groningen,53.18,6.71,0,TRUE
