Row,INSDC Sequence accession,ID,applicant,DeathOrSampleDate,DateInfo,English,Dutch,Latin,family,order,location,province,Lat,Long,BirdUSUV,BirdTestedWNV
1,,AS20190898,DWHC,04-08-2016,DateFound,Common Buzzard,Buizerd,Buteo buteo,Accipitridae,Accipitriformes,Utrecht,Utrecht,52.11,4.99,0,TRUE
2,,AS201600054,DWHC,08-08-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Utrecht,Utrecht,52.14,5.01,0,FALSE
3,,AS201600028,DWHC,27-08-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Epe,Gelderland,52.29,5.91,0,FALSE
4,,AS201600031,DWHC,30-08-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Veghel,Brabant,51.62,5.54,0,FALSE
5,MN122145,AS201600034,DWHC,30-08-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Gennep,Limburg,51.7,5.97,1,FALSE
6,MN122146,AS201600036,DWHC,03-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Andelst,Gelderland,51.9,5.73,1,FALSE
7,,AS201600039,DWHC,04-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Heerenveen,Friesland,52.94,5.94,0,FALSE
8,MN122147,AS201600042,DWHC,05-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Venlo,Limburg,51.36,6.13,1,FALSE
9,MN122148,AS201600045,DWHC,06-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Lierop,Brabant,51.42,5.67,1,FALSE
10,MN122151,AS201600057,DWHC,07-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,"St. agatha, Cuijk",Brabant,51.71,5.91,1,FALSE
11,MN122149,AS201600048,DWHC,07-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Lierop,Brabant,51.42,5.66,1,FALSE
12,MN122150,AS201600051,DWHC,09-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Ottersum,Limburg,51.69,6.01,1,FALSE
13,MN122152,AS201600060,DWHC,11-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Zevenaar,Gelderland,51.93,6.08,1,FALSE
14,MN122153,AS201600062,DWHC,10-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Andelst,Gelderland,51.9,5.73,1,FALSE
15,,AS201600075,DWHC,14-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Wageningen,Gelderland,51.98,5.66,1,FALSE
16,,AS201600085,DWHC,18-09-2016,DateFound,Eurasian Collared Dove,Turkse Tortel,Streptopelia decaocto,Columbidae,Columbiformes,Bilthoven,Utrecht,52.12,5.18,0,FALSE
17,MN122154,AS201600089,DWHC,19-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Vlijmen,Brabant,51.69,5.23,1,FALSE
18,,AS201600092,DWHC,19-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Amsterdam,N-Holland,52.35,4.9,0,FALSE
19,MN122155,AS201600095,DWHC,20-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Klarenbeek,Gelderland,52.19,6.08,1,FALSE
20,MN122156,AS201600098,DWHC,19-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Uden,Brabant,51.66,5.64,1,FALSE
21,MN122157,AS201600101,DWHC,21-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Beek en donk,Brabant,51.54,5.63,1,FALSE
22,MN122158,AS201600104,DWHC,21-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Heino,Overijssel,52.45,6.26,1,FALSE
23,MN122159,AS201600107,DWHC,21-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Wernhout,Brabant,51.44,4.65,1,FALSE
24,MN122160,AS201600110,DWHC,21-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Reek,Brabant,51.74,5.67,1,FALSE
25,,AS201600112,DWHC,21-09-2016,DateFound,Common Kingfisher,Ijsvogel,Alcedo atthis,Alcedinidae,Coraciiformes,Holten,Overijssel,52.27,6.47,1,FALSE
26,MN122161,AS201600115,DWHC,21-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Houten,Utrecht,52.03,5.18,1,FALSE
27,MN122162,AS201600118,DWHC,22-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,De bilt,Utrecht,52.09,5.19,1,FALSE
28,MN122163,AS201600121,DWHC,22-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Haarzuilens,Utrecht,52.12,4.98,1,FALSE
29,,AS201600124,DWHC,21-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Westervoort,Gelderland,51.96,5.97,1,FALSE
30,MN122165,AS201600127,DWHC,22-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Devexer,Overijssel,52.26,6.21,1,FALSE
31,,AS201600130,DWHC,21-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Nieuwkoop,Z-Holland,52.16,4.82,0,FALSE
32,MN122166,AS201600133,DWHC,21-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Overdinkel,Overijssel,52.27,6.99,1,FALSE
33,MN122167,AS201600136,DWHC,22-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Arnhem,Gelderland,51.98,5.97,1,FALSE
34,,AS201600139,DWHC,21-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Rhenen,Utrecht,51.96,5.58,0,FALSE
35,,AS201600145,DWHC,22-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Gersloot,Friesland,53.02,5.95,1,FALSE
36,MN122168,AS201600148,DWHC,23-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Nieuwegein,Utrecht,52.04,5.07,1,FALSE
37,,AS201600259,DWHC,26-09-2016,DateFound,Common Barn Owl,Kerkuil,Tyto alba,Tytonidae,Strigiformes,Bronckhorst,Gelderland,51.98,6.39,0,FALSE
38,MN122177,AS201600253,DWHC,26-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Landgraaf,Limburg,50.89,6.02,1,FALSE
39,MN122181,AS201600277,DWHC,26-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,De Ronde Venen,Utrecht,52.27,4.97,1,FALSE
40,MN122174,AS201600241,DWHC,26-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Midden drexhe,Drenthe,52.81,6.51,1,FALSE
41,MN122175,AS201600244,DWHC,26-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Zutphen,Gelderland,52.14,6.22,1,FALSE
42,MN122180,AS201600274,DWHC,26-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Streek de liemers,Gelderland,51.95,5.97,1,FALSE
43,,AS201600262,DWHC,25-09-2016,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Meppel,Drenthe,52.69,6.19,0,FALSE
44,,AS201600215,DWHC,26-09-2016,DateFound,Common Kingfisher,Ijsvogel,Alcedo atthis,Alcedinidae,Coraciiformes,Venlo,Limburg,51.35,6.13,0,FALSE
45,,AS201600224,DWHC,28-09-2016,DateFound,Eurasian Jay,Gaai,Garrulus glandarius,Corvidae,Passeriformes,Breda,Brabant,51.57,4.78,1,FALSE
46,MN122172,AS201600221,DWHC,28-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Almere,Flevoland,52.4,5.28,1,FALSE
47,,AS201600182,DWHC,28-09-2016,DateFound,House Sparrow,Huismus,Passer domesticus,Passeridae,Passeriformes,Leiden,Z-Holland,52.17,4.5,0,FALSE
48,,AS201600256,DWHC,29-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Harderwijk,Overijssel,52.33,5.6,1,FALSE
49,,AS201600250,DWHC,29-09-2016,DateFound,European Robin,Roodborst,Erithacus rubecula,Turdidae,Passeriformes,Gouda,Z-Holland,52.01,4.7,0,FALSE
50,,AS201600212,DWHC,29-09-2016,DateFound,Common Wood Pigeon,Houtduif,Columba palumbus,Columbidae,Columbiformes,Naarden,N-Holland,52.29,5.15,0,FALSE
51,MN122179,AS201600268,DWHC,29-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Nederlek,Z-Holland,51.9,4.68,1,FALSE
52,MN122176,AS201600247,DWHC,29-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Terneuzen,Zeeland,51.28,3.94,1,FALSE
53,MN122178,AS201600265,DWHC,29-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Enschede,Overijssel,52.21,6.91,1,FALSE
54,MN122173,AS201600227,DWHC,29-09-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Hilversum,N-Holland,52.21,5.16,1,FALSE
55,,AS201600232,DWHC,03-10-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Gemert-Bakel,Brabant,51.58,5.71,0,FALSE
56,,AS201600229,DWHC,03-10-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Brummen,Gelderland,52.09,6.16,0,FALSE
57,,AS201600235,DWHC,04-10-2016,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Pijnacker-Nootdorp,Z-Holland,52.03,4.44,0,FALSE
58,,AS201600206,DWHC,02-10-2016,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Borsele,Zeeland,51.47,3.82,0,FALSE
59,MN122171,AS201600203,DWHC,04-10-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Lelystad,Flevoland,52.54,5.45,1,FALSE
60,,AS201600185,DWHC,04-10-2016,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Den helder,N-Holland,52.94,4.77,0,FALSE
61,,AS201600194,DWHC,05-10-2016,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Amstelveen,N-Holland,52.32,4.87,0,FALSE
62,,AS201600191,DWHC,05-10-2016,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Jelsum,Friesland,53.23,5.79,1,FALSE
63,,AS201600188,DWHC,04-10-2016,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Wunseradiel,Friesland,53.12,5.44,0,FALSE
64,,AS201600238,DWHC,05-10-2016,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Bunnik,Utrecht,52.07,5.19,0,FALSE
65,MN122169,AS201600173,DWHC,06-10-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Doetinchem,Gelderland,51.96,6.3,1,FALSE
66,,AS201600176,DWHC,06-10-2016,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Haarlem,N-Holland,52.41,4.65,0,FALSE
67,,AS201600218,DWHC,10-10-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Bernheze,Brabant,51.74,5.52,0,FALSE
68,MN122170,AS201600197,DWHC,09-10-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Reimerswaal,Zeeland,51.41,4.18,1,FALSE
69,,AS201600200,DWHC,09-10-2016,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Littenseradiel,Friesland,53.1,5.62,0,FALSE
70,,AS201600304,DWHC,12-10-2016,DateFound,Common Kingfisher,Ijsvogel,Alcedo atthis,Alcedinidae,Coraciiformes,Veldhoven,Brabant,51.43,5.42,0,FALSE
71,,AS201600307,DWHC,13-10-2016,DateFound,Common Barn Owl,Kerkuil,Tyto alba,Tytonidae,Strigiformes,Weesp,N-Holland,52.29,5.1,0,FALSE
72,,AS201600310,DWHC,13-10-2016,DateFound,Common Chaffinch,Vink,Fringilla coelebs,Fringillidae,Passeriformes,Velp,Gelderland,52.03,6.01,0,FALSE
73,,AS201600313,DWHC,17-10-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Houten,Utrecht,52.04,5.16,0,FALSE
74,,AS201600316,DWHC,18-10-2016,DateFound,Rock Pigeon,Rotsduif,Columba livia domestica,Columbidae,Columbiformes,Gouda,Z-Holland,52.02,4.71,0,FALSE
75,,AS201600319,DWHC,22-10-2016,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Laren,N-Holland,52.25,5.22,0,FALSE
76,,AS201600322,DWHC,22-10-2016,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Laren,N-Holland,52.25,5.22,0,FALSE
77,,AS201600325,DWHC,24-10-2016,DateFound,Little Owl,Steenuil,Athene noctua,Strigidae,Strigiformes,Rucphen,Brabant,51.52,4.61,0,FALSE
78,,AS201600328,DWHC,27-10-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Loppersum,Groningen,53.32,6.7,0,FALSE
79,,AS201600336,DWHC,07-11-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Dongeradeel,Friesland,53.4,6.07,0,TRUE
80,,AS201600339,DWHC,13-11-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Culemborg,Gelderland,51.95,5.22,0,FALSE
81,,AS201600342,DWHC,21-11-2016,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Daxumadiel,Friesland,53.24,6,0,FALSE
82,,AS201600345,DWHC,28-11-2016,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Den haag,N-Holland,52.06,4.23,0,FALSE
83,,AS201700003,DWHC,04-01-2017,DateFound,House Sparrow,Huismus,Passer domesticus,Passeridae,Passeriformes,Utrecht,Utrecht,52.13,5.14,0,FALSE
84,,AS201700006,DWHC,08-02-2017,DateFound,Common Buzzard,Buizerd,Buteo buteo,Accipitridae,Accipitriformes,Utrecht,Utrecht,52.12,5.12,0,FALSE
85,,AS201700009,DWHC,08-02-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Overloon,Brabant,51.57,5.95,0,FALSE
86,,AS201700015,DWHC,27-02-2017,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Utrecht,Utrecht,52.08,5.17,0,FALSE
87,,AS201700018,DWHC,14-03-2017,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Ryptsjerk,Friesland,53.22,5.92,0,FALSE
88,,AS201700021,DWHC,22-03-2017,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Zuidwolde,Groningen,53.21,6.63,0,FALSE
89,,AS20201762,DWHC,18-11-2020,DateFound,Domestic Canary,Kanarie,Serinus canaria domestica,Carduelinae,Passeriformes,Leiden,Z-Holland,52.16,4.49,0,TRUE
90,MN122188,AS201700024,DWHC,04-04-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Eindhoven,Brabant,51.49,5.47,1,FALSE
91,,AS201700055,DWHC,07-05-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Roden,Drenthe,53.14,6.41,0,FALSE
92,,AS201700057,DWHC,23-05-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Giethoorn,Overijssel,52.76,6.09,0,FALSE
93,,AS201700058,DWHC,12-06-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Lobith,Gelderland,51.86,6.12,0,TRUE
94,,AS201700059,DWHC,18-06-2017,DateFound,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Den haag,Z-Holland,52.03,4.18,0,TRUE
95,,AS201700060,DWHC,18-06-2017,DateFound,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Den haag,Z-Holland,52.03,4.18,0,TRUE
96,,AS201700061,DWHC,18-06-2017,DateFound,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Den haag,Z-Holland,52.03,4.18,0,TRUE
97,,AS201700062,DWHC,18-06-2017,DateFound,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Den haag,Z-Holland,52.03,4.18,0,TRUE
98,,AS201700063,DWHC,18-06-2017,DateFound,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Den haag,Z-Holland,52.03,4.18,0,TRUE
99,,AS201700064,DWHC,18-06-2017,DateFound,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Den haag,Z-Holland,52.03,4.18,0,TRUE
100,,AS201700065,DWHC,18-06-2017,DateFound,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Den haag,Z-Holland,52.03,4.18,0,TRUE
101,,AS201700066,DWHC,18-06-2017,DateFound,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Den haag,Z-Holland,52.03,4.18,0,TRUE
102,,AS201700067,DWHC,18-06-2017,DateFound,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Den haag,Z-Holland,52.03,4.18,0,TRUE
103,,AS201700068,DWHC,18-06-2017,DateFound,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Den haag,Z-Holland,52.03,4.18,0,TRUE
104,,AS201700069,DWHC,18-06-2017,DateFound,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Den haag,Z-Holland,52.03,4.18,0,TRUE
105,,AS201700070,DWHC,18-06-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Monster,Z-Holland,52.03,4.18,0,FALSE
106,,AS201700071,DWHC,18-06-2017,DateFound,Eurasian Collared Dove,Turkse Tortel,Streptopelia decaocto,Columbidae,Columbiformes,Den haag,Z-Holland,52.03,4.18,0,FALSE
107,,AS201700073,DWHC,21-06-2017,DateFound,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,Arnhem,Gelderland,51.94,5.9,0,FALSE
108,MN122189,AS201700077,DWHC,03-07-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Best,Brabant,51.51,5.4,1,FALSE
109,MN122191,AS201700084,DWHC,04-07-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Bunnik,Utrecht,52.06,5.2,1,FALSE
110,MN122190,AS201700080,DWHC,05-07-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Bilthoven,Utrecht,52.14,5.22,1,FALSE
111,,AS201700083,DWHC,05-07-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Munstergeleen,Limburg,50.97,5.86,0,FALSE
112,MN122192,AS201700086,DWHC,11-07-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Best,Brabant,51.51,5.4,1,FALSE
113,MN122193,AS201700087,DWHC,11-07-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Zutphen,Gelderland,52.12,6.2,1,FALSE
114,MN122194,AS201700090,DWHC,13-07-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Doetinchem,Gelderland,51.96,6.28,1,FALSE
115,MN122195,AS201700096,DWHC,14-07-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Rosmalen,Brabant,51.71,5.37,1,FALSE
116,MN122205,AS201700152,DWHC,17-07-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Ijsselstein,Utrecht,52.03,5.03,1,FALSE
117,MN122196,AS201700103,DWHC,19-07-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Gelmonde,Brabant,51.62,5.36,1,FALSE
118,MN122197,AS201700106,DWHC,25-07-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Soest,Utrecht,52.18,5.3,1,FALSE
119,MN122198,AS201700109,DWHC,25-07-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Bennekom,Gelderland,52.01,5.68,1,FALSE
120,MN122199,AS201700112,DWHC,27-07-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Enschede,Overijssel,52.23,6.89,1,FALSE
121,,AS201700115,DWHC,27-07-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Schiedam,Z-Holland,51.9,4.39,0,FALSE
122,MN122200,AS201700118,DWHC,30-07-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Grenspad,N-Holland,52.31,5.14,1,FALSE
123,MN122201,AS201700121,DWHC,01-08-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Koekange,Drenthe,52.72,6.36,1,FALSE
124,MN122202,AS201700124,DWHC,01-08-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Enschede,Overijssel,52.22,6.84,1,FALSE
125,MN122203,AS201700127,DWHC,03-08-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Huizen,N-Holland,52.3,5.25,1,FALSE
126,,AS201700130,DWHC,03-08-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Lelystad,Flevoland,52.52,5.49,1,FALSE
127,,AS201700133,DWHC,07-08-2017,DateFound,Great Cormorant,Aalscholver,Phalacrocorax carbo,Phalacrocoracidae,Suliformes,Zandvoort,N-Holland,52.38,4.53,0,FALSE
128,,AS201700201,DWHC,07-08-2017,DateFound,House Sparrow,Huismus,Passer domesticus,Passeridae,Passeriformes,Sudwest-Fryslan,Friesland,53.07,5.53,0,FALSE
129,,AS201700136,DWHC,10-08-2017,DateFound,Great Cormorant,Aalscholver,Phalacrocorax carbo,Phalacrocoracidae,Suliformes,Zandvoort,N-Holland,52.38,4.53,0,FALSE
130,MN122206,AS201700155,DWHC,08-08-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Almere,Flevoland,52.39,5.23,1,FALSE
131,,AS201700139,DWHC,09-08-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Nietap,Drenthe,53.16,6.41,0,FALSE
132,,AS201700158,DWHC,14-08-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Bergen op Zoom,Brabant,51.53,4.29,1,FALSE
133,,AS201700161,DWHC,15-08-2017,DateFound,Common Buzzard,Buizerd,Buteo buteo,Accipitridae,Accipitriformes,Kerkrade,Limburg,50.87,6.05,0,FALSE
134,,AS201700164,DWHC,15-08-2017,DateFound,Western Jackdaw,Kauw,Coloeus monedula,Corvidae,Passeriformes,Arnhem,Gelderland,51.97,5.9,0,FALSE
135,,AS201700195,DWHC,13-08-2017,DateFound,Lesser Black-backed Gull,Kleine Mantelmeeuw,Larus fuscus,Laridae,Charadriiformes,Velsen,N-Holland,52.46,4.6,0,FALSE
136,,AS201700180,DWHC,14-08-2017,DateFound,Lesser Black-backed Gull,Kleine Mantelmeeuw,Larus fuscus,Laridae,Charadriiformes,Velsen,N-Holland,52.46,4.59,0,FALSE
137,MN122207,AS201700167,DWHC,24-08-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Almere,Flevoland,52.37,5.25,1,FALSE
138,MN122208,AS201700170,DWHC,24-08-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Almere,Flevoland,52.34,5.22,1,FALSE
139,,AS201700183,DWHC,29-08-2017,DateFound,Eurasian Jay,Gaai,Garrulus glandarius,Corvidae,Passeriformes,Kerkrade,Limburg,50.87,6.05,1,FALSE
140,,AS201700259,DWHC,05-09-2017,DateFound,Common Barn Owl,Kerkuil,Tyto alba,Tytonidae,Strigiformes,Ouderkerk,N-Holland,51.97,4.65,0,FALSE
141,,AS201700192,DWHC,25-08-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Haarlem,N-Holland,52.38,4.63,0,FALSE
142,MN122209,AS201700174,DWHC,30-08-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Utrecht,Utrecht,52.12,5.07,1,FALSE
143,MN122211,AS201700186,DWHC,12-09-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Zoeterwoude,Z-Holland,52.12,4.5,1,FALSE
144,MN122212,AS201700189,DWHC,13-09-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Eext,Drenthe,53.04,6.75,1,FALSE
145,MN122210,AS201700177,DWHC,14-09-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Epe,Gelderland,52.37,5.98,1,FALSE
146,,AS201700258,DWHC,18-09-2017,DateFound,Eurasian Jay,Gaai,Garrulus glandarius,Corvidae,Passeriformes,Tilburg,Brabant,51.56,5.08,1,FALSE
147,,AS201700257,DWHC,19-09-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Alkmaar,N-Holland,52.63,4.75,0,FALSE
148,MN122213,AS201700248,DWHC,19-09-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Hardinxveld-Giessendam,Z-Holland,51.82,4.83,1,FALSE
149,,AS201700284,DWHC,19-09-2017,DateFound,Eurasian Sparrowhawk,Sperwer,Accipiter nisus,Accipitridae,Accipitriformes,S'-gravendeel,Z-Holland,51.77,4.6,0,FALSE
150,MN122214,AS201700254,DWHC,21-09-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Hilversum,N-Holland,52.37,4.89,1,FALSE
151,,AS201700249,DWHC,26-09-2017,DateFound,Little Owl,Steenuil,Athene noctua,Strigidae,Strigiformes,Buren,Gelderland,51.94,5.5,0,FALSE
152,,AS201700261,DWHC,04-10-2017,DateFound,Barn Swallow,Boerenzwaluw,Hirundo rustica,Hirundinidae,Passeriformes,Koggenland,N-Holland,52.68,4.98,0,FALSE
153,,AS201700262,DWHC,04-10-2017,DateFound,Barn Swallow,Boerenzwaluw,Hirundo rustica,Hirundinidae,Passeriformes,Koggenland,N-Holland,52.68,4.98,0,FALSE
154,,AS201700263,DWHC,04-10-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Houtmaat Hengelo,Gelderland,52.28,6.79,0,FALSE
155,,AS201700266,DWHC,16-10-2017,DateFound,Common Starling,Spreeuw,Sturnus vulgaris,Sturnidae,Passeriformes,Haarlemmermeer,N-Holland,52.3,4.65,0,FALSE
156,,AS201700269,DWHC,17-10-2017,DateFound,Common Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,Bernheze,Brabant,51.69,5.58,1,FALSE
