PRIMARYSAMPLEBARCODE,COLLECTIONDATE,MATTYPE,SPECIES,SPECIES EN,SPECIES LATIN,Location,BirdId
18TV0203,29-09-2018,Cloacal/throat swab,Huismus,House Sparrow,Passer domesticus,"Ankeveen, Nederland",9975882
18TV0228,29-09-2018,Cloacal/throat swab,Huismus,House Sparrow,Passer domesticus,"Ankeveen, Nederland",9965971
18TV0842,30-09-2018,Cloacal/throat swab,Zanglijster,Song trush,Turdus philomeus,"Kampen, Nederland",11573532
18TV1247,03-10-2018,Cloacal/throat swab,Zanglijster,Song trush,Turdus philomeus,"Utrecht, Nederland",11386560
18TV1305,04-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Bloemendaal, Nederland",11348218
18TV1289,04-10-2018,Cloacal/throat swab,Koperwiek,Redwing,Turdus iliacus,"Bloemendaal, Nederland",11408776
18TV1284,04-10-2018,Cloacal/throat swab,Gaai,Eurasian Jay,Garrulus glandarius,"Liessel, Nederland",11348431
18TV1307,04-10-2018,Cloacal/throat swab,Zanglijster,Song trush,Turdus philomeus,Nederland,
18TV1291,04-10-2018,Cloacal/throat swab,Zwartkop,Eurasian Blackcap,Sylvia atricapilla,"Bloemendaal, Nederland",11408830
17TV0280,04-10-2018,Cloacal/throat swab,Zanglijster,Song trush,Turdus philomeus,"Weert, Nederland",11398459
18TV0862,04-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"De Mortel, Nederland",11349082
18TV1153,05-10-2018,Cloacal/throat swab,Zanglijster,Song trush,Turdus philomeus,"Bloemendaal, Nederland",11408904
16TV1153,11-10-2018,Cloacal/throat swab,Wilde Eend,Mallard,Anas platyrhynchos,"Sassenheim, Nederland",11358170
18TV1469,11-10-2018,Cloacal/throat swab,Ringmus,Eurasian Tree Sparrow,Passer montanus,"Utrecht, Nederland",11688256
18TV1259,06-10-2018,Cloacal/throat swab,Huismus,House Sparrow,Passer domesticus,"Utrecht, Nederland",11517823
18TV1232,11-10-2018,Cloacal/throat swab,Roodborsttapuit,European Stonechat,Saxicola rubicola,"Utrecht, Nederland",11451186
18TV1050,08-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Overdinkel, Nederland",11352577
18TV1149,08-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Berg en Dal, Nederland",11381960
17TV0979,06-10-2018,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Siebengewald, Nederland",11601529
18TV0042,11-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Reusel, Nederland",11361365
17TV1065,06-10-2018,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Siebengewald, Nederland",11601528
18TV1096,05-10-2018,Cloacal/throat swab,Knobbelzwaan,Mute swan,Cygnus olor,"Almere, Nederland",11350413
17TV0855,06-10-2018,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Siebengewald, Nederland",11601527
17TV0462,06-10-2018,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Siebengewald, Nederland",11601525
17TV0970,06-10-2018,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Siebengewald, Nederland",11601524
18TV0854,09-10-2018,Cloacal/throat swab,Zanglijster,Song trush,Turdus philomeus,"De Mortel, Nederland",11352538
17TV0978,06-10-2018,Cloacal/throat swab,Kauw,Western Jackdaw,Coloeus monedula,"Siebengewald, Nederland",11601530
18TV0669,05-10-2018,Cloacal/throat swab,Meerkoet,Eurasian Coot,Fulica atra,"Arnhem, Nederland",11373566
18TV0308,26-07-2017,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Wassenaar, Nederland",10491993
18TV0895,10-10-2018,Cloacal/throat swab,Merel,Common Blackbird,Turdus merula,"Almen, Nederland",11360308
16TV0506,07-10-2018,Cloacal/throat swab,Knobbelzwaan,Mute swan,Cygnus olor,"Almere, Nederland",11350406
17TV0583,11-10-2018,Cloacal/throat swab,Wilde Eend,Mallard,Anas platyrhynchos,"Sint Philipsland, Nederland",11353244
