,ID,capture.date,English,Dutch,Latin,family,order,Lat,Long,PMA.USUV.Ab6000,PMA.WNV.Ab6000,VNT.USUV,VNT.WNV,FRNT.USUV,FRNT.WNV,SeroResult,BirdId
2666,21TV4363,31-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.13616943,5.003493786,0,0,NA,NA,NA,NA,NA,13118021
2667,21TV4362,31-10-2021,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.13616943,5.003493786,1,1,NA,NA,80,2560,WNV,12634476
2668,21TV4361,31-10-2021,Great Spotted Woodpecker,Grote Bonte Specht,Dendrocopos major,Picidae,Piciformes,52.13616943,5.003493786,0,0,NA,NA,NA,NA,NA,12719975
2669,21TV6340,31-10-2021,Song Thrush,Zanglijster,Turdus philomelos,Turdidae,Passeriformes,52.30849075,5.196929932,1,0,NA,NA,80,20,Negative,13384036
2670,21TV7255,31-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,52.30849075,5.196929932,0,0,NA,NA,NA,NA,NA,13384039
2671,21TV4460,02-11-2021,House Sparrow,Huismus,Passer domesticus,Passeridae,Passeriformes,51.82166672,5.905499935,0,0,NA,NA,NA,NA,NA,12980261
2672,21TV7516,27-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.17933056,6.057987058,1,1,NA,NA,NA,NA,NA,12809904
2673,21TV7517,29-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.179382,6.057515,0,0,NA,NA,NA,NA,NA,12812166
2674,21TV7518,29-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.179382,6.057515,0,0,NA,NA,NA,NA,NA,12812167
2675,21TV7519,29-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.179382,6.057515,1,0,NA,NA,10,10,Negative,12812164
2676,21TV7520,29-10-2021,Eurasian Blackbird,Merel,Turdus merula,Turdidae,Passeriformes,53.1794321,6.0575016,1,0,NA,NA,10,10,Negative,12812168
